ADMIRATION	AGRE	ANXIETY	AVOIDANCE	CONS	EXTR	NARCISSISM	NEUR	OPEN	RIVALRY	twitter_uid
0.0	3.75	4.778	4.722	3.25	2.25	0.0	2.25	2.5	0.0	357642506
2.0	4.5	1.722	2.611	5.0	3.5	1.333	1.0	5.0	0.667	3301903748
2.0	1.75	1.833	6.444	4.0	1.0	2.833	1.25	4.0	3.667	838507334645116928
0.0	4.0	2.0	4.944	4.5	1.5	0.0	1.0	4.0	0.0	159174646
3.333	2.75	4.111	3.889	3.0	2.5	3.167	3.0	3.25	3.0	703719079
2.0	4.0	5.556	5.556	2.0	1.25	2.0	3.75	4.75	2.0	381128299
4.0	5.0	1.667	2.333	4.75	5.0	3.0	1.0	5.0	2.0	83312548
3.333	4.0	4.333	4.444	3.5	3.25	3.167	3.0	3.5	3.0	55448888
2.667	3.25	2.722	4.389	2.75	3.25	2.5	2.5	3.5	2.333	993244842
2.0	4.5	2.056	2.778	3.25	1.75	2.0	1.75	5.0	2.0	983790808984846337
0.0	5.0	1.333	1.389	5.0	4.5	0.0	1.0	5.0	0.0	317904095
0.667	4.5	4.611	2.389	2.75	1.0	1.0	3.75	2.0	1.333	22383791
1.333	3.5	5.056	5.222	5.0	1.0	1.333	4.25	2.0	1.333	14708247
1.333	4.25	3.556	4.333	4.25	2.5	1.333	3.75	3.0	1.333	1026195231316828162
2.333	4.5	3.556	3.778	4.5	1.5	2.333	1.75	4.0	2.333	33396342
2.0	3.75	4.5	3.778	3.75	2.5	2.167	3.75	3.75	2.333	2497400886
4.333	3.75	3.444	3.333	3.5	3.5	4.667	1.75	4.0	5.0	137074473
1.667	4.5	1.167	5.111	3.5	1.0	1.5	1.25	4.0	1.333	99423015
1.667	4.75	1.333	3.333	2.5	3.0	1.667	1.75	4.75	1.667	22985171
2.667	4.25	4.222	3.278	4.75	3.5	3.333	2.0	3.0	4.0	948361524
0.0	4.0	5.278	3.667	3.5	1.0	0.0	2.5	4.0	0.0	35957500
3.0	3.75	5.556	2.944	2.25	1.75	2.667	3.5	4.0	2.333	132258651
0.0	4.5	4.5	4.889	3.0	3.5	0.667	2.5	4.75	1.333	572762177
5.0	4.0	1.278	3.778	4.25	4.25	5.0	2.0	4.5	5.0	157186734
2.333	2.5	3.5	5.0	4.0	1.5	2.667	3.0	3.5	3.0	2491299806
2.0	3.5	4.0	3.833	2.0	1.5	2.333	4.75	4.0	2.667	875254172
2.667	5.0	4.889	3.333	2.75	1.0	1.667	2.0	5.0	0.667	890328973552504832
3.0	4.5	2.111	2.556	4.5	1.5	1.5	1.0	4.5	0.0	282229458
1.667	3.75	5.278	6.389	1.5	1.0	2.0	4.75	4.0	2.333	3390174267
0.0	3.5	4.0	5.0	4.0	2.0	0.0	3.5	4.5	0.0	63086171
1.667	2.75	5.944	5.889	4.0	2.25	2.333	5.0	4.25	3.0	2730795312
0.667	4.5	4.056	3.056	2.75	1.75	0.333	4.0	4.25	0.0	992904736197234688
1.667	4.5	2.556	2.778	4.75	4.0	1.167	1.75	4.5	0.667	1098424970940698624
0.0	4.0	4.111	3.667	4.0	3.0	0.0	2.0	5.0	0.0	265697153
1.667	4.75	5.833	3.778	2.75	1.5	0.833	4.25	4.75	0.0	1728839654
0.0	5.0	6.222	4.444	3.25	2.25	0.0	3.75	4.5	0.0	16586873
3.0	4.75	3.667	2.667	4.5	2.5	2.667	3.25	4.0	2.333	2781705552
3.333	5.0	6.222	2.556	2.5	1.25	3.167	3.0	4.75	3.0	156019092
3.667	3.5	4.5	3.278	4.0	2.25	3.0	2.75	4.0	2.333	23182367
0.667	4.75	3.889	4.667	2.75	2.5	0.667	3.25	5.0	0.667	99985043
3.667	4.5	4.889	3.889	3.25	2.5	3.0	3.5	5.0	2.333	2593729977
0.0	3.25	2.833	4.667	3.0	3.0	0.0	2.75	3.5	0.0	29651441
0.0	3.0	2.0	6.278	3.75	1.25	0.0	1.25	1.0	0.0	70430703
0.0	3.25	2.722	6.222	4.0	1.0	0.0	3.0	5.0	0.0	56093101
2.667	2.5	1.333	6.389	2.5	1.0	1.333	2.25	4.0	0.0	338748421
0.0	4.5	3.556	5.611	3.0	1.0	1.333	3.5	5.0	2.667	730755798
2.0	3.5	5.278	5.5	3.25	2.5	2.0	3.75	4.0	2.0	220709617
2.333	3.0	2.278	3.611	3.5	3.0	2.5	2.0	3.5	2.667	89144160
3.0	3.25	6.444	2.833	4.75	2.0	3.5	4.5	5.0	4.0	230190259
1.333	1.5	3.278	6.889	5.0	1.25	1.833	1.25	3.75	2.333	374077438
4.333	2.5	3.722	4.944	2.0	2.75	4.5	3.5	4.25	4.667	2923426928
4.333	5.0	1.889	2.5	3.25	3.75	3.333	2.0	4.0	2.333	1598587986
3.667	4.75	2.5	3.278	3.75	3.75	3.0	2.25	4.75	2.333	338833424
5.333	4.75	3.167	1.778	3.0	4.5	4.333	3.0	4.75	3.333	844911595834695680
3.333	4.75	3.944	5.389	2.0	3.0	1.667	3.25	5.0	0.0	20891831
6.0	4.5	1.5	4.333	4.75	4.5	4.833	2.75	5.0	3.667	288209982
0.0	2.25	5.0	5.5	2.75	1.25	0.667	4.0	3.0	1.333	52909195
0.0	2.75	1.444	2.333	5.0	1.75	0.0	1.0	2.75	0.0	242851454
3.0	4.75	1.833	2.167	4.5	3.75	2.5	2.25	4.75	2.0	23148485
4.333	3.0	3.889	4.111	2.75	3.75	3.833	3.25	3.0	3.333	858137490062016512
2.333	4.25	1.778	1.944	4.5	3.75	2.5	2.25	3.25	2.667	2608846111
0.667	4.25	1.389	3.444	4.75	4.75	1.0	1.25	5.0	1.333	2416045034
1.333	4.0	2.889	2.444	4.0	2.25	1.0	2.25	4.0	0.667	1324787258
1.333	5.0	2.611	2.278	4.25	3.25	1.167	1.5	3.75	1.0	3222179941
