word,emotion,color,orientation,sentiment,subjectivity,source
banished,anger,,,negative,,emolex
banishment,anger,black,,negative,strong,emolex
banjo,,brown,,,,colour
bank,trust,green,,,,emolex
bank_building,trust,,,,,extended_emolex
bank_clerk,trust,,,,,extended_emolex
bank_line,fear,,,,,extended_emolex
banker,trust,,,,,emolex
banking_company,trust,,,,,extended_emolex
banking_concern,trust,,,,,extended_emolex
bankrupt,fear,black,,negative,weak,emolex
bankruptcy,anger,black,,negative,,emolex
banned,anger,,,,,extended_emolex
banning,anger,,,,,extended_emolex
banquet,anticipation,,,positive,,emolex
banshee,anger,,,negative,,emolex
banshie,anger,,,,,extended_emolex
banter,anger,,,,,extended_emolex
baptism,,,,positive,,emolex
baptismal,joy,white,,positive,,emolex
baptize,,,active,positive,,inquirer
bar,anger,,active,negative,weak,extended_emolex
barb,anger,black,,negative,,emolex
barbarian,fear,,,negative,strong,emolex
barbaric,anger,,,negative,strong,emolex
barbarically,,,,negative,strong,opinion
barbarism,anger,red,,negative,,emolex
barbarity,anger,,,negative,strong,extended_emolex
barbarous,anger,,,negative,strong,extended_emolex
barbarously,,,,negative,strong,opinion
barbarousness,anger,,,,,extended_emolex
barbecue,,red,,,,colour
barbed,disgust,grey,,,,extended_emolex
barbellate,fear,,,,,extended_emolex
bard,,,,positive,,emolex
bare,anger,,,,,extended_emolex
barefaced,anger,,,,,extended_emolex
barefoot,,pink,,,,colour
barely,fear,brown,,negative,weak,extended_emolex
bareness,fear,,,,,extended_emolex
barf,disgust,,,,,emolex
bargain,trust,green,active,positive,strong,emolex
barge,,grey,,,,colour
barge_in,fear,,,,,extended_emolex
bark,anger,brown,,negative,,emolex
barkeep,trust,,,,,extended_emolex
barkeeper,trust,,,,,extended_emolex
barman,trust,,,,,extended_emolex
barmy,anger,,,,,extended_emolex
barn,,red,,,,colour
baron,,purple,,,,colour
baronial,trust,,,,,extended_emolex
barque,anger,,,,,extended_emolex
barrack,anger,,,,,extended_emolex
barrage,anger,,,,,extended_emolex
barrage_fire,anger,,,,,extended_emolex
barred,,,,negative,,emolex
barrel,,brown,,,,colour
barren,sadness,grey,passive,negative,strong,emolex
barricade,fear,,,negative,,emolex
barricado,fear,,,,,extended_emolex
barrier,anger,,,negative,,emolex
barring,,brown,,,,colour
barrister,,black,,,,colour
barroom,anger,,,,,extended_emolex
barrow,disgust,brown,,,,emolex
barrowful,disgust,,,,,extended_emolex
bartender,trust,,,,,emolex
barter,trust,,,,,emolex
basal,trust,,,,,extended_emolex
base,trust,white,,,,emolex
base_of_operations,trust,,,,,extended_emolex
baseball,,white,,,,colour
baseball_diamond,joy,,,,,extended_emolex
baseball_field,joy,,,,,extended_emolex
baseboard,,brown,,,,colour
baseborn,disgust,,,,,extended_emolex
basel,fear,,,,,extended_emolex
baseless,surprise,,,negative,strong,emolex
basement,,black,,,,colour
bash,anger,,,negative,,extended_emolex
bashed,,,,negative,,opinion
bashful,,,passive,negative,strong,opinion
bashing,,,,negative,,opinion
basic,,,,positive,weak,mpqa
basic_principle,trust,,,,,extended_emolex
basically,,,,,weak,mpqa
basics,trust,,,,,extended_emolex
basin,disgust,brown,,,,extended_emolex
basis,trust,,,,,extended_emolex
bask,anticipation,,,positive,weak,extended_emolex
basket,,brown,,,,colour
basketball,anticipation,orange,,positive,,emolex
basketball_game,anticipation,,,,,extended_emolex
basle,fear,,,,,extended_emolex
bass,,brown,,,,colour
bastard,disgust,,,negative,strong,emolex
bastardly,disgust,,,,,extended_emolex
bastards,,,,negative,,opinion
baste,anger,,,,,extended_emolex
bastion,anger,,,positive,,emolex
bat,anger,,,,,extended_emolex
batch,anticipation,,,,,extended_emolex
batching,,brown,,,,colour
bath,,blue,,positive,,emolex
bathe,,blue,,,,colour
bathroom,disgust,white,,,,extended_emolex
batons,,,,,weak,mpqa
batrachian,disgust,,,,,extended_emolex
bats,anger,,,,,extended_emolex
batsman,anger,,,,,extended_emolex
battalion,anger,,,,,emolex
batter,anger,,,negative,,emolex
battered,fear,,,negative,weak,emolex
battering,,,,negative,weak,opinion
battery,anger,grey,,negative,,emolex
battery-acid,joy,,,,,extended_emolex
batting_cage,sadness,,,,,extended_emolex
battle,anger,red,active,negative,weak,emolex
battle-lines,,,,negative,strong,mpqa
battle_cry,sadness,,,,,extended_emolex
battle_royal,fear,,,,,extended_emolex
battled,anger,red,,negative,,emolex
battlefield,fear,,,negative,weak,emolex
battleful,anger,,,,,extended_emolex
battleground,fear,,,negative,strong,extended_emolex
battler,anger,,,,,extended_emolex
battue,anger,,,,,extended_emolex
batty,anger,,,negative,strong,extended_emolex
baulk,anger,,,,,extended_emolex
bawd,disgust,,,,,extended_emolex
bawdiness,anger,,,,,extended_emolex
bawdy,,,,negative,,emolex
bawdyhouse,disgust,,,,,extended_emolex
bawl,anger,,,,,extended_emolex
bawl_out,anger,,,,,extended_emolex
bay,anticipation,brown,,,,extended_emolex
bay_window,trust,,,,,extended_emolex
bay_wreath,joy,,,,,extended_emolex
bayonet,anger,red,,negative,,emolex
be,anticipation,,,,,extended_emolex
be_after,anticipation,,,,,extended_emolex
be_amiss,anger,,,,,extended_emolex
be_given,trust,,,,,extended_emolex
be_intimate,anger,,,,,extended_emolex
be_sick,disgust,,,,,extended_emolex
beach,joy,,,,,emolex
beacon,,yellow,,positive,weak,mpqa
bead,,blue,,,,colour
beagle,,brown,,,,colour
beak,,yellow,,,,colour
beaker,,white,,,,colour
beam,joy,yellow,,positive,,emolex
beam_of_light,joy,,,,,extended_emolex
beaming,anticipation,,,positive,,emolex
beamish,joy,,,,,extended_emolex
beamy,anticipation,,,,,extended_emolex
bear,anger,brown,active,,,emolex
bear_down,anger,,,,,extended_emolex
bear_on,anticipation,,,,,extended_emolex
bear_out,trust,,,,,extended_emolex
bear_witness,trust,,,,,extended_emolex
bearded_darnel,anger,,,,,extended_emolex
bearer,,brown,,negative,,emolex
bearing_false_witness,fear,,,,,extended_emolex
bearish,anger,brown,,negative,weak,emolex
beast,anger,black,,negative,strong,emolex
beastly,disgust,black,,negative,strong,emolex
beat,anger,,active,,,extended_emolex
beat-up,fear,,,,,extended_emolex
beat_back,disgust,,,,,extended_emolex
beat_out,anger,,,,,extended_emolex
beat_up,anger,,,,,extended_emolex
beaten-up,fear,,,,,extended_emolex
beatific,anticipation,,,,,extended_emolex
beatified,joy,,,,,extended_emolex
beatify,anticipation,,,positive,strong,extended_emolex
beating,anger,red,,negative,,emolex
beau,disgust,red,,,,extended_emolex
beau_ideal,anticipation,,,,,extended_emolex
beaut,joy,,,,,extended_emolex
beauteous,,,,positive,strong,opinion
beautification,joy,red,,positive,,emolex
beautiful,joy,pink,,positive,strong,emolex
beautifullly,,,,positive,,opinion
beautifully,,,,positive,strong,opinion
beautify,joy,pink,active,positive,strong,emolex
beauty,joy,,,positive,strong,emolex
becalm,surprise,,,,,extended_emolex
became,,,passive,,,inquirer
bechance,anticipation,,,,,extended_emolex
becharm,anticipation,,,,,extended_emolex
beckon,,,active,positive,,opinion
beckoned,,,,positive,,opinion
beckoning,,,,positive,,opinion
beckons,,,,positive,,opinion
becloud,sadness,,,,,extended_emolex
become,,,passive,,,inquirer
become_flat,anger,,,,,extended_emolex
bed,anger,,,,,extended_emolex
bedamn,anger,,,,,extended_emolex
bedaze,fear,,,,,extended_emolex
bedding,,white,,,,colour
bedevil,anger,,,,,extended_emolex
bedevilment,anger,,,,,extended_emolex
bedlam,anger,,,negative,strong,extended_emolex
bedlamite,,,,negative,strong,opinion
bedraggled,disgust,,,,,extended_emolex
bedrock,trust,grey,,positive,,emolex
bedroom,,purple,,,,colour
bedtime,,black,,,,colour
bee,anger,yellow,,,,emolex
beef,anger,brown,,,,extended_emolex
beef_up,joy,,,,,extended_emolex
beehive,,yellow,,,,colour
beelzebub,anger,,,,,extended_emolex
been,,,passive,,,inquirer
beer,joy,,,positive,,emolex
beeswax,,yellow,,,,colour
befall,anticipation,black,,negative,,emolex
befit,,,passive,positive,strong,mpqa
befitting,,,passive,positive,strong,emolex
befog,sadness,,,,,extended_emolex
befool,anger,,,,,extended_emolex
before_long,anticipation,,,,,extended_emolex
beforehand,anticipation,,,,,extended_emolex
befoul,anger,,,negative,strong,extended_emolex
befoulment,disgust,,,,,extended_emolex
befriend,joy,,active,positive,strong,emolex
befuddled,fear,,,,,extended_emolex
befuddlement,fear,,,,,extended_emolex
beg,sadness,,active,negative,strong,emolex
began,,,active,,,inquirer
beget,anticipation,,,,,extended_emolex
begetter,trust,,,,,extended_emolex
beggar,sadness,brown,,negative,weak,emolex
beggarly,,,,negative,strong,opinion
begging,,,,negative,strong,emolex
begin,anticipation,white,active,,,extended_emolex
beginner,trust,,,,,extended_emolex
beginning,anticipation,,,,,extended_emolex
begrime,disgust,,,,,extended_emolex
begrimed,disgust,,,,,extended_emolex
begrudge,anger,,,,,extended_emolex
beguile,anticipation,,,negative,strong,extended_emolex
beguiled,anticipation,,,,,extended_emolex
beguiler,anger,,,,,extended_emolex
begun,anticipation,,active,,,emolex
behalf,,,,positive,,inquirer
behave,anger,,active,,,extended_emolex
behavior,,,active,,,inquirer
behemoth,fear,,,negative,,emolex
behind,disgust,,,,,extended_emolex
beholden,,grey,,negative,,emolex
beijing_dialect,trust,,,,,extended_emolex
being,,,passive,,,inquirer
belabor,,,,negative,strong,opinion
belated,sadness,,,negative,weak,emolex
belatedly,sadness,,,,,extended_emolex
belch,anger,,,,,extended_emolex
beldam,anger,,,,,extended_emolex
beldame,anger,,,,,extended_emolex
beleaguer,anger,,,negative,strong,extended_emolex
belie,anger,,active,negative,strong,extended_emolex
belief,anger,red,passive,,strong,extended_emolex
beliefs,,,,,weak,mpqa
believability,trust,,,,,extended_emolex
believable,trust,,,positive,strong,extended_emolex
believe,anticipation,,passive,,strong,extended_emolex
believeable,,,,positive,,opinion
believed,trust,white,,,,emolex
believer,trust,white,passive,,,emolex
believing,trust,white,,positive,,emolex
belittle,anger,,,negative,strong,emolex
belittled,,,,negative,strong,opinion
belittling,,,,negative,strong,opinion
bell,,yellow,,,,colour
bell_ringer,anger,,,,,extended_emolex
bellicose,anger,,,negative,strong,extended_emolex
belligerence,,,,negative,strong,opinion
belligerency,anger,,,,,extended_emolex
belligerent,anger,,,negative,strong,emolex
belligerently,,,,negative,strong,opinion
bellow,anger,brown,,,,extended_emolex
bellowing,anger,,,,,extended_emolex
bellows,anger,,,,,emolex
belly,disgust,,,,,extended_emolex
belly-up,fear,,,,,extended_emolex
belly_laugh,anger,,,,,extended_emolex
bellyache,anger,,,,,extended_emolex
belong,,,passive,,,inquirer
beloved,joy,,,positive,strong,extended_emolex
belt,anger,brown,active,negative,,emolex
belt_ammunition,anger,,,,,extended_emolex
belt_down,anger,,,,,extended_emolex
belt_out,anger,,,,,extended_emolex
belted_ammunition,anger,,,,,extended_emolex
bema,anticipation,,,,,extended_emolex
bemire,disgust,,,,,extended_emolex
bemoan,anger,,,negative,strong,extended_emolex
bemoaning,,,,negative,strong,opinion
bemock,anger,,,,,extended_emolex
bemuse,fear,,,,,extended_emolex
bemused,fear,,,negative,strong,extended_emolex
bemusement,fear,,,,,extended_emolex
bench,anticipation,brown,,,,extended_emolex
bend,disgust,,passive,,,extended_emolex
bender,,,,negative,,emolex
benediction,anticipation,,,,,extended_emolex
benefaction,joy,,,,,extended_emolex
benefactor,trust,,,positive,weak,emolex
beneficent,trust,,,positive,strong,extended_emolex
beneficial,anticipation,,,positive,weak,emolex
beneficially,,,,positive,strong,opinion
beneficiary,,,,positive,strong,opinion
benefit,anticipation,,,positive,weak,emolex
benefits,,,,positive,weak,opinion
benevolence,joy,white,,positive,strong,emolex
benevolent,anticipation,,,positive,strong,extended_emolex
benifits,,,,positive,,opinion
benighted,sadness,,,,,extended_emolex
benign,joy,,passive,positive,weak,emolex
benignant,joy,,,,,extended_emolex
bent,,,passive,negative,weak,opinion
benumb,sadness,,,,,extended_emolex
bequeath,sadness,,active,positive,,extended_emolex
bequest,trust,green,,,,emolex
berate,anger,,,negative,strong,extended_emolex
bereave,sadness,,,negative,strong,extended_emolex
bereaved,sadness,black,,negative,,emolex
bereaved_person,sadness,,,,,extended_emolex
bereavement,sadness,,passive,negative,strong,emolex
bereft,sadness,black,,negative,strong,emolex
bergamot,,yellow,,,,colour
berlin,,brown,,,,colour
berm,trust,,,,,extended_emolex
berserk,anger,,,negative,strong,emolex
berserker,anger,,,,,extended_emolex
berth,surprise,blue,,positive,,emolex
beseech,anticipation,,active,negative,strong,extended_emolex
beset,anger,,,negative,weak,extended_emolex
beshrew,anger,,,,,extended_emolex
besides,,,,,strong,mpqa
besiege,anticipation,,active,negative,weak,extended_emolex
besmirch,anger,,,negative,strong,extended_emolex
bespeak,anticipation,,,,,extended_emolex
bespoken,anticipation,,,,,extended_emolex
bessie_smith,trust,,,,,extended_emolex
best,anticipation,,,positive,strong,extended_emolex
best-known,,,,positive,strong,opinion
best-loved,joy,,,,,extended_emolex
best-performing,,,,positive,strong,opinion
best-selling,,,,positive,weak,opinion
bestial,disgust,,,negative,strong,emolex
bestow,trust,,active,positive,,extended_emolex
bet,anticipation,white,active,,,extended_emolex
bet_on,anticipation,,,,,extended_emolex
bete_noire,anger,,,,,extended_emolex
betoken,anticipation,,,,,extended_emolex
betray,anger,black,,negative,strong,emolex
betrayal,anger,,,negative,strong,emolex
betrayals,,,,negative,strong,opinion
betrayer,anger,,,negative,strong,extended_emolex
betraying,,,,negative,,opinion
betrays,,,,negative,,opinion
betroth,anticipation,,active,positive,,extended_emolex
betrothal,,,,positive,,inquirer
betrothed,anticipation,white,,positive,,emolex
better,anger,,active,positive,strong,extended_emolex
better-known,,,,positive,strong,opinion
better-than-expected,,,,positive,strong,opinion
better_half,joy,,,,,extended_emolex
betterment,anticipation,,,positive,,emolex
beutifully,,,,positive,,opinion
beverage,,,,positive,,emolex
bewail,anger,,,negative,strong,extended_emolex
beware,anticipation,,,negative,weak,emolex
bewilder,anger,,,negative,strong,extended_emolex
bewildered,fear,,,negative,strong,emolex
bewildering,,,,negative,strong,opinion
bewilderingly,,,,negative,strong,opinion
bewilderment,fear,,,negative,strong,emolex
bewitch,anger,,,negative,strong,extended_emolex
bewitching,anticipation,,,,,extended_emolex
bewray,anger,,,,,extended_emolex
bias,anger,,,negative,strong,emolex
biased,,yellow,,negative,strong,emolex
biases,,,,negative,strong,opinion
bible,anger,,,,,extended_emolex
biblical,,,,positive,,emolex
bibulous,disgust,,,,,extended_emolex
bicker,anger,,,negative,strong,extended_emolex
bickering,anger,,,negative,strong,emolex
bicycle-built-for-two,trust,,,,,extended_emolex
bid,anticipation,,active,,,extended_emolex
bid-rigging,,,,negative,weak,opinion
biennial,anticipation,green,,,,emolex
bier,fear,black,,negative,,emolex
biff,anger,,,,,extended_emolex
big,anger,,,,weak,extended_emolex
big_bucks,disgust,,,,,extended_emolex
big_h,anger,,,,,extended_emolex
big_money,disgust,,,,,extended_emolex
big_top,anticipation,,,,,extended_emolex
bigger,disgust,,,,,extended_emolex
bighearted,anticipation,,,,,extended_emolex
bigot,anger,black,,negative,,emolex
bigoted,anger,,,negative,,emolex
bigotries,,,,negative,,opinion
bigotry,,,,negative,,opinion
bile,anger,,,negative,,emolex
bilge,,brown,,,,colour
bilgewater,anger,,,,,extended_emolex
bilingual,,,,positive,,emolex
biliousness,anger,,,,,extended_emolex
bilk,anger,,,,,extended_emolex
bill,anticipation,,,,,extended_emolex
bill_of_exchange,anticipation,,,,,extended_emolex
bill_of_indictment,fear,,,,,extended_emolex
billet,fear,grey,,,,extended_emolex
billow,disgust,,,,,extended_emolex
binary,,grey,,,,colour
bind,anger,,,,,extended_emolex
bindery,,grey,,,,colour
binding,trust,,,,,extended_emolex
bing,,brown,,,,colour
binge,anger,,,,,extended_emolex
binocular,,black,,,,colour
binoculars,,black,,,,colour
binomial,,grey,,,,colour
biogenesis,,green,,,,colour
biology,,green,,,,colour
biopsy,fear,red,,negative,,emolex
biosphere,,blue,,,,colour
biovular,joy,,,,,extended_emolex
birch,anger,brown,,negative,,emolex
birch_rod,anger,,,,,extended_emolex
birch_tree,anger,,,,,extended_emolex
birchen,anger,,,,,extended_emolex
bird,anger,,,,,extended_emolex
bird-scarer,fear,,,,,extended_emolex
bird_louse,disgust,,,,,extended_emolex
bird_of_jove,trust,,,,,extended_emolex
bird_of_prey,fear,,,,,extended_emolex
birdbrain,disgust,,,,,extended_emolex
birdcall,anticipation,,,,,extended_emolex
birdsong,anticipation,,,,,extended_emolex
birken,anger,,,,,extended_emolex
birr,joy,,,,,extended_emolex
birth,anticipation,white,,positive,,emolex
birth_control_pill,trust,,,,,extended_emolex
birthday,anticipation,,,positive,,emolex
birthing,anticipation,,,,,extended_emolex
birthplace,anger,,,negative,,emolex
bishop_of_rome,trust,,,,,extended_emolex
bison,,brown,,,,colour
bit,trust,green,active,,,extended_emolex
bitch,anger,,,negative,strong,emolex
bitchiness,anger,,,,,extended_emolex
bitchy,,,,negative,strong,opinion
bite,anger,red,active,negative,,emolex
biting,disgust,,,negative,strong,extended_emolex
biting_louse,disgust,,,,,extended_emolex
bitingly,anger,,,negative,strong,extended_emolex
bitter,anger,,passive,negative,strong,extended_emolex
bitterly,anger,,,negative,strong,emolex
bitterness,anger,,passive,negative,strong,emolex
bitumen,,black,,,,colour
biyearly,anticipation,,,,,extended_emolex
bizarre,surprise,,,negative,strong,emolex
blab,anticipation,,,negative,strong,extended_emolex
blab_out,anticipation,,,,,extended_emolex
blabber,disgust,,,negative,strong,extended_emolex
black,sadness,black,,negative,weak,emolex
black-and-blue,anger,,,,,extended_emolex
black-market,anger,,,,,extended_emolex
black_and_white,disgust,,,,,extended_emolex
black_art,anticipation,,,,,extended_emolex
black_bile,sadness,,,,,extended_emolex
black_eye,anger,,,,,extended_emolex
black_magic,anticipation,,,,,extended_emolex
black_person,sadness,,,,,extended_emolex
blackamoor,sadness,,,,,extended_emolex
blackball,anger,,,,,extended_emolex
blackbeard,joy,,,,,extended_emolex
blackberry,,black,,,,colour
blackboard,,black,,,,colour
blacken,anger,,,,,extended_emolex
blackened,sadness,,,,,extended_emolex
blackguard,anger,,,,,extended_emolex
blackjack,anger,black,,negative,,emolex
blackleg,anger,,,,,extended_emolex
blackmail,anger,black,active,negative,weak,emolex
blackness,fear,black,,negative,,emolex
blacksmith,,black,,,,colour
blackwash,anger,,,,,extended_emolex
blah,,,,negative,strong,opinion
blame,anger,,,negative,strong,emolex
blamed,anger,,,,,extended_emolex
blameless,,,,positive,strong,emolex
blameworthy,,,,negative,strong,opinion
blanched,anger,,,,,extended_emolex
bland,disgust,grey,,negative,strong,emolex
blandish,joy,,,negative,strong,extended_emolex
blank,anticipation,white,,,,extended_emolex
blank_out,fear,,,,,extended_emolex
blanket,trust,,,,,emolex
blare,anger,,,,,extended_emolex
blaring,anger,,,,,extended_emolex
blarney,trust,,,,,extended_emolex
blaspheme,anger,,,negative,strong,extended_emolex
blasphemous,anger,black,,negative,strong,emolex
blasphemy,anger,red,,negative,strong,emolex
blast,anger,red,active,negative,weak,emolex
blasted,anger,,,negative,strong,extended_emolex
blasting,anger,,,,,extended_emolex
blastoff,anger,,,,,extended_emolex
blatant,anger,,,negative,strong,emolex
blatantly,,,,negative,strong,opinion
blather,,,,negative,strong,emolex
blaze,anger,red,,negative,,emolex
blaze_away,anger,,,,,extended_emolex
blaze_out,anger,,,,,extended_emolex
blazing,anger,red,,,,extended_emolex
blazon_out,sadness,,,,,extended_emolex
bleach,,white,,,,colour
bleak,sadness,,,negative,strong,emolex
bleakly,,,,negative,strong,opinion
bleakness,fear,,,negative,strong,extended_emolex
bleb,disgust,,,,,extended_emolex
bleed,disgust,,passive,negative,weak,extended_emolex
bleeding,disgust,red,,negative,,emolex
bleeds,,,,negative,,opinion
blemish,anger,brown,,negative,weak,emolex
blend,anticipation,,,,,extended_emolex
blending,,green,,,,colour
bless,anticipation,white,passive,positive,strong,emolex
blessed,joy,white,,positive,,emolex
blessing,anticipation,white,,positive,strong,emolex
blessings,anticipation,,,positive,,emolex
blest,joy,,,,,extended_emolex
blight,disgust,black,,negative,,emolex
blighted,disgust,,,negative,,emolex
blighter,anger,,,,,extended_emolex
blind,,,,negative,weak,emolex
blinded,,black,,negative,,emolex
blindfold,anticipation,black,,,,emolex
blindfolded,anticipation,black,,,,extended_emolex
blinding,anger,,,negative,strong,extended_emolex
blindingly,,,,negative,strong,opinion
blindly,sadness,black,,negative,,emolex
blindness,sadness,black,,negative,weak,emolex
blindside,,,,negative,strong,opinion
blink,anticipation,,passive,,,extended_emolex
blinking,anger,,,,,extended_emolex
bliss,joy,,,positive,strong,emolex
blissful,joy,,,positive,strong,emolex
blissfully,,,,positive,strong,opinion
blissfulness,joy,,,,,extended_emolex
blister,disgust,red,,negative,strong,emolex
blistering,anger,,,negative,strong,extended_emolex
blithe,,,,positive,strong,opinion
blithely,joy,,,,,extended_emolex
blitheness,anticipation,,,,,extended_emolex
blitz,surprise,red,,,,emolex
blitzkrieg,surprise,,,,,extended_emolex
blizzard,disgust,white,,,,extended_emolex
bloat,disgust,,,,,extended_emolex
bloated,disgust,,,negative,strong,emolex
blob,disgust,,,negative,,emolex
block,anger,,passive,negative,weak,extended_emolex
block_off,anger,,,,,extended_emolex
block_up,anger,,,,,extended_emolex
blockade,anger,,,negative,,emolex
blockage,anticipation,,,negative,,extended_emolex
blockbuster,,,,positive,,opinion
blockhead,,,,negative,strong,opinion
bloke,anger,,,,,extended_emolex
blond,,yellow,,,,colour
blood,fear,red,,negative,weak,extended_emolex
blood-related,trust,,,,,extended_emolex
blood_brother,trust,,,,,extended_emolex
blood_feud,anger,,,,,extended_emolex
blood_line,fear,,,,,extended_emolex
blood_relation,trust,,,,,extended_emolex
blood_relative,trust,,,,,extended_emolex
bloodbath,anger,,,,,extended_emolex
bloodhound,,brown,,,,colour
bloodless,anger,red,,positive,,emolex
bloodletting,anger,,,,,extended_emolex
bloodline,fear,,,,,extended_emolex
bloodshed,anger,red,,negative,strong,emolex
bloodstained,anger,,,,,extended_emolex
bloodsucker,disgust,,,,,extended_emolex
bloodthirsty,anger,red,,negative,strong,emolex
bloody,anger,red,,negative,weak,emolex
bloody-minded,anger,,,,,extended_emolex
bloom,anticipation,pink,active,positive,weak,emolex
bloom_of_youth,anticipation,,,,,extended_emolex
bloomer,disgust,,,,,extended_emolex
bloomers,trust,,,,,extended_emolex
blooming,anger,,,,,extended_emolex
blooper,disgust,,,,,extended_emolex
blossom,joy,pink,active,positive,weak,emolex
blossom_forth,anticipation,,,,,extended_emolex
blossom_out,anticipation,,,,,extended_emolex
blot,anger,black,,negative,,emolex
blot_out,anger,,,,,extended_emolex
blotchy,,,,negative,,opinion
blotted_out,anger,,,,,extended_emolex
blouse,,white,,,,colour
blow,anger,,active,negative,weak,extended_emolex
blow_out,anger,,,,,extended_emolex
blow_out_of_the_water,anger,,,,,extended_emolex
blow_up,anger,,,,,extended_emolex
blower,,,,negative,,emolex
blowhole,anger,,,,,extended_emolex
blowout,joy,,,negative,,emolex
blowup,anger,,,,,extended_emolex
blubber,disgust,,,,,extended_emolex
blue,sadness,blue,,,,emolex
blue-blooded,sadness,,,,,extended_emolex
blue_air,fear,,,,,extended_emolex
blue_angel,fear,,,,,extended_emolex
blue_devil,fear,,,,,extended_emolex
blue_devils,fear,,,,,extended_emolex
blue_funk,sadness,,,,,extended_emolex
blue_sky,fear,,,,,extended_emolex
blueing,fear,,,,,extended_emolex
blueish,sadness,,,,,extended_emolex
blueness,fear,,,,,extended_emolex
blueprint,anticipation,,,,,extended_emolex
blues,fear,blue,,negative,,emolex
bluff,,,,negative,,emolex
bluing,fear,,,,,extended_emolex
bluish,sadness,blue,,,,extended_emolex
blunder,disgust,grey,active,negative,strong,emolex
blunder_out,disgust,,,,,extended_emolex
blunderer,anger,,,,,extended_emolex
blundering,,,,negative,strong,opinion
blunders,,,,negative,strong,opinion
blunt,anticipation,grey,,negative,strong,extended_emolex
blur,anger,,active,negative,weak,emolex
bluring,,,,negative,,opinion
blurred,sadness,grey,,negative,,emolex
blurring,,,,negative,,opinion
blurry,,,,negative,,opinion
blurs,,,,negative,,opinion
blurt,disgust,,active,negative,strong,extended_emolex
blurt_out,disgust,,,,,extended_emolex
blush,anticipation,pink,,negative,,emolex
blushing,,red,,,,colour
bm,disgust,,,,,extended_emolex
boa,,red,,,,colour
board,anticipation,,,positive,,emolex
boarder,,brown,,,,colour
boards,,brown,,,,colour
boast,,red,active,negative,strong,emolex
boastful,,,,negative,strong,opinion
boasting,,,,negative,,emolex
boat_paddle,anticipation,,,,,extended_emolex
bob_hope,anticipation,,,,,extended_emolex
bobble,anger,,,,,extended_emolex
bod,disgust,,,,,extended_emolex
bodacious,anger,,,,,extended_emolex
bode,anticipation,,,,,extended_emolex
bodge,anger,,,,,extended_emolex
bodice,,white,,,,colour
bodiless,fear,,,,,extended_emolex
bodily,surprise,,,,,extended_emolex
bodily_structure,trust,,,,,extended_emolex
boding,anticipation,,,,,extended_emolex
body,trust,,,,,extended_emolex
body_forth,trust,,,,,extended_emolex
body_politic,trust,,,,,extended_emolex
body_structure,trust,,,,,extended_emolex
body_waste,disgust,,,,,extended_emolex
bodyguard,trust,,,positive,,emolex
bog,,,,negative,,emolex
bog_down,disgust,,,,,extended_emolex
bogeyman,anger,,,,,extended_emolex
boggle,,,,negative,strong,opinion
boggy,disgust,,,,,extended_emolex
bogus,anger,,,negative,strong,emolex
boil,disgust,,active,negative,strong,emolex
boilerplate,,,,negative,,emolex
boiling,anticipation,red,,negative,strong,extended_emolex
boiling_point,disgust,,,,,extended_emolex
boisterous,anger,red,,negative,strong,emolex
bold,,,active,positive,strong,emolex
boldly,,,,positive,strong,mpqa
boldness,,,,positive,strong,emolex
bollix,anger,,,,,extended_emolex
bollix_up,anger,,,,,extended_emolex
bollocks,anger,,,,,extended_emolex
bollocks_up,anger,,,,,extended_emolex
boloney,anger,,,,,extended_emolex
bolster,,,active,positive,strong,emolex
bolt,anger,,active,,,extended_emolex
bolt_down,anger,,,,,extended_emolex
bomb,anger,black,active,negative,weak,emolex
bomb_calorimeter,anger,,,,,extended_emolex
bombard,anger,red,active,negative,weak,emolex
bombardment,anger,black,,negative,strong,emolex
bombardon,anger,,,,,extended_emolex
bombastic,disgust,,,negative,strong,extended_emolex
bombed,disgust,,,negative,,emolex
bomber,fear,,,,,emolex
bombilate,anticipation,,,,,extended_emolex
bombilation,anticipation,,,,,extended_emolex
bombinate,anticipation,,,,,extended_emolex
bombination,anticipation,,,,,extended_emolex
bombing,anger,,,,,extended_emolex
bona_fide,joy,,,,,extended_emolex
bonanza,joy,,,positive,,emolex
bond,anger,,,,,extended_emolex
bondage,fear,black,passive,negative,strong,emolex
bonds,,green,,negative,,emolex
bone,,white,,,,colour
bone_marrow,joy,,,,,extended_emolex
boner,disgust,,,,,extended_emolex
bones,,white,,,,colour
bonfire,,orange,,,,colour
bonk,anger,,,,,extended_emolex
bonkers,anger,,,negative,strong,extended_emolex
bonne,,white,,positive,,emolex
bonnet,anger,,,,,extended_emolex
bonny,,,,positive,strong,opinion
bonus,anticipation,green,,positive,weak,emolex
bonuses,,,,positive,,opinion
bony,anger,white,,,,extended_emolex
boo,anger,black,,negative,,emolex
boo-boo,disgust,,,,,extended_emolex
boob,anger,pink,,,,extended_emolex
booby,,,,negative,,emolex
booby_trap,anger,,,,,extended_emolex
booger,anger,,,,,extended_emolex
boogeyman,anger,,,,,extended_emolex
book,anger,,,,,extended_emolex
book_binding,trust,,,,,extended_emolex
book_of_instructions,anticipation,,,,,extended_emolex
bookcase,,brown,,,,colour
booked,anticipation,,,,,extended_emolex
bookish,,,,positive,,emolex
bookseller,,grey,,,,colour
bookshop,,blue,,positive,,emolex
